NHA_NAME,sex,age,day,month,year,fel_misd
Eastside,1,15,6,0,2021,2
Eastside,1,15,6,0,2021,2
Rita Ranch,0,25,6,0,2021,2
Garden District,1,34,6,0,2021,1
Garden District,1,34,6,0,2021,1
Garden District,1,34,6,0,2021,1
Garden District,1,34,6,0,2021,1
Garden District,1,34,6,0,2021,2
South Park,0,31,6,0,2021,2
Rose,1,37,6,0,2021,5
Campbell-Grant,0,51,6,0,2021,4
Campbell-Grant,0,51,6,0,2021,2
Garden District,1,34,6,0,2021,2
Campbell-Grant,0,51,6,0,2021,4
Rose,1,37,6,0,2021,2
Campbell-Grant,0,51,6,0,2021,4
Garden District,1,34,6,0,2021,2
Garden District,1,34,6,0,2021,2
Garden District,1,34,6,0,2021,2
Garden District,1,34,6,0,2021,2
Campus Farm,1,53,6,0,2021,1
Garden District,1,34,6,0,2021,1
Garden District,1,34,6,0,2021,1
Garden District,1,34,6,0,2021,1
Keeling,1,40,6,0,2021,2
Keeling,1,40,6,0,2021,5
Swan Way Park,1,25,6,0,2021,2
El Rio Acres,0,56,6,0,2021,2
El Rio Acres,0,56,6,0,2021,2
Swan Way Park,1,25,6,0,2021,2
Swan Way Park,1,25,6,0,2021,2
Swan Way Park,1,25,6,0,2021,2
Broadway/Northeast,1,55,5,0,2021,1
Swan Way Park,1,25,6,0,2021,2
Swan Way Park,1,25,6,0,2021,2
Cherry Avenue,1,  ,6,0,2021,1
Corbett,1,21,6,0,2021,2
Corbett,1,21,6,0,2021,4
Amphi,1,  ,6,0,2021,1
Cherry Avenue,1,24,6,0,2021,1
Santa Cruz Southwest,1,52,6,0,2021,2
Amphi,1,25,0,0,2021,2
Amphi,1,25,0,0,2021,2
Amphi,1,  ,6,0,2021,2
Amphi,1,25,0,0,2021,2
Amphi,1,25,0,0,2021,2
Amphi,1,25,0,0,2021,2
Amphi,1,25,0,0,2021,2
Palo Verde,0,23,5,0,2021,2
Palo Verde,0,23,5,0,2021,2
Palo Verde,0,23,5,0,2021,2
Amphi,1,25,0,0,2021,2
North University,0,  ,0,0,2021,2
Broadway Pantano East,1,25,6,0,2021,1
San Clemente,1,48,6,0,2021,2
San Clemente,1,48,6,0,2021,2
San Clemente,1,48,6,0,2021,2
San Clemente,1,48,6,0,2021,2
San Clemente,1,48,6,0,2021,2
Blenman-Elm,0,32,0,0,2021,2
Blenman-Elm,0,32,0,0,2021,2
North University,0,  ,0,0,2021,2
Blenman-Elm,0,32,0,0,2021,2
Blenman-Elm,0,32,0,0,2021,2
Richland Heights East,1,35,0,0,2021,4
Richland Heights East,1,35,0,0,2021,2
Richland Heights East,1,35,0,0,2021,2
West University,1,48,0,0,2021,2
Amphi,0,48,0,0,2021,2
Palo Verde Park,1,45,6,0,2021,2
Hedrick Acres,0,15,6,0,2021,2
Palo Verde Park,1,45,6,0,2021,2
Palo Verde Park,1,45,6,0,2021,2
Palo Verde Park,1,45,6,0,2021,2
Hedrick Acres,0,17,6,0,2021,2
Palo Verde Park,1,45,6,0,2021,2
Terra Del Sol,0,13,5,0,2021,3
Miracle Manor,1,24,6,0,2021,2
A Mountain,1,24,5,0,2021,2
A Mountain,1,24,5,0,2021,2
A Mountain,1,24,5,0,2021,2
A Mountain,1,24,5,0,2021,5
Cherry Avenue,0,35,6,0,2021,1
Barrio Blue Moon,1,14,6,0,2021,2
Cherry Avenue,0,35,6,0,2021,2
Cherry Avenue,0,35,6,0,2021,2
Cherry Avenue,0,35,6,0,2021,2
Cherry Avenue,0,35,6,0,2021,2
Cherry Avenue,0,35,6,0,2021,2
Myers,1,20,6,0,2021,1
Myers,1,20,6,0,2021,2
Palo Verde Park,1,42,6,0,2021,1
Palo Verde Park,1,42,6,0,2021,1
Palo Verde Park,1,42,6,0,2021,2
Palo Verde Park,1,42,6,0,2021,2
Corbett,0,62,5,0,2021,2
Avondale,0,33,1,0,2021,2
Avondale,1,53,1,0,2021,2
Avondale,1,32,1,0,2021,2
Elvira,1,21,1,0,2021,1
Midvale Park,0,18,1,0,2021,2
Midvale Park,0,26,1,0,2021,2
Santa Rita Park - West Ochoa,1,34,5,0,2021,1
Santa Rita Park - West Ochoa,1,34,5,0,2021,1
Myers,1,20,6,0,2021,2
Santa Rita Park - West Ochoa,1,34,5,0,2021,1
Coronado Heights,1,43,5,0,2021,2
Keeling,0,39,5,0,2021,1
Santa Rita Park - West Ochoa,1,34,5,0,2021,1
Santa Rita Park - West Ochoa,1,34,5,0,2021,1
Barrio Hollywood,1,27,5,0,2021,2
Santa Rita Park - West Ochoa,1,34,5,0,2021,1
Coronado Heights,1,43,5,0,2021,2
Terra Del Sol,0,21,6,0,2021,2
Terra Del Sol,0,21,6,0,2021,5
Terra Del Sol,0,21,6,0,2021,2
Terra Del Sol,0,40,6,0,2021,2
Terra Del Sol,0,40,6,0,2021,2
Terra Del Sol,0,40,6,0,2021,2
Terra Del Sol,0,40,6,0,2021,2
Terra Del Sol,0,40,6,0,2021,2
Terra Del Sol,0,40,6,0,2021,2
Terra Del Sol,0,40,6,0,2021,2
Rincon Heights,1,43,1,0,2021,4
Rincon Heights,1,43,1,0,2021,2
Rincon Heights,1,43,1,0,2021,2
Rincon Heights,1,43,1,0,2021,4
Rincon Heights,1,43,1,0,2021,4
Sunnyside,1,33,6,0,2021,2
Rincon Heights,1,43,1,0,2021,2
Rincon Heights,1,43,1,0,2021,4
Rincon Heights,1,43,1,0,2021,4
Rincon Heights,1,43,1,0,2021,2
Rincon Heights,1,43,1,0,2021,4
Flowing Wells,1,43,3,0,2021,1
North Dodge,1,27,0,0,2021,2
Downtown,1,36,0,0,2021,2
Downtown,1,36,0,0,2021,2
Dietz,0,14,0,0,2021,2
Carriage Park,1,29,0,0,2021,5
Carriage Park,1,29,0,0,2021,2
St. Cyrils,1,54,0,0,2021,1
Roberts,0,53,0,0,2021,2
Roberts,0,53,0,0,2021,2
Roberts,0,53,0,0,2021,2
Midvale Park,0,24,0,0,2021,2
Midvale Park,0,24,0,0,2021,2
Midvale Park,0,37,0,0,2021,1
Santa Cruz Southwest,1,16,0,0,2021,1
